sending time (ms)	delta sending time (ms)	payload size	payload digest
162228		12	pavi 0:0RFIV
163805	1577	12	pavi 1:BVQCS
165122	1317	12	pavi 2:RBB31
166724	1602	12	pavi 3:SORE9
167734	1010	12	pavi 4:8A3B3
168740	1006	12	pavi 5:HZT1S
169801	1061	12	pavi 6:1LB48
171348	1547	12	pavi 7:5GA95
172354	1006	12	pavi 8:AMB3Y
173362	1008	12	pavi 9:KEPQ0
min:	1006		
max:	1602		
avg:	1195		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
277605		17	pavi 0:X5FW11SMQE
278671	1066	17	pavi 1:9S5JJF7122
279733	1062	17	pavi 2:W8IFU9J74P
280744	1011	17	pavi 3:OYT3HMTUYR
281810	1066	17	pavi 4:M2FLIRS63S
282852	1042	17	pavi 5:RYNQP4ZQB4
283922	1070	17	pavi 6:K30F92W9F9
284944	1022	17	pavi 7:2K1P5J1ZMZ
286024	1080	17	pavi 8:WAPAT7E3IL
287305	1281	17	pavi 9:2ERIES0L3A
min:	1011		
max:	1281		
avg:	1079		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
321783		27	pavi 0:OQGX7F232TM6O
322793	1010	27	pavi 1:QP9QCRQ7ZJBID
323800	1007	27	pavi 2:6LVD63Z73UWE9
325069	1269	27	pavi 3:LM55S2E6BJ42X
326115	1046	27	pavi 4:DKOCHX61LHGM3
327154	1039	27	pavi 5:U17EW6GCVLXXP
328216	1062	27	pavi 6:93KMXDF94M22B
329324	1108	27	pavi 7:5RM5269Z9GJ17
330376	1052	27	pavi 8:TVTC32F75AHAE
331385	1009	27	pavi 9:BQ4IWJZVXJWS3
min:	1007		
max:	1269		
avg:	1074		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
352167		47	pavi 0:PMFEB2LIXRS6V
354199	2032	47	pavi 2:UQ2QP11VXKXPB
356501	2302	47	pavi 3:GCAICTFC7XOTC
357510	1009	47	pavi 4:DBP7NPYSV0X8X
358646	1136	47	pavi 5:TCO7OHCKJQQUU
360265	1619	47	pavi 6:N41TB8K722QPE
361276	1011	47	pavi 7:T96K08LJD33O6
362284	1008	47	pavi 8:17WX8S5QL8JM3
363585	1301	47	pavi 9:984I9WK21K2E4
min:	1008		
max:	2302		
avg:	1427		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
378370		87	pavi 0:L7NH6N25T01BI
379570	1200	87	pavi 1:7R7RFSLFDBWKV
380576	1006	87	pavi 2:93FL0IWLKATW7
381586	1010	87	pavi 3:5Z8X9MQJ8E8VV
382594	1008	87	pavi 4:6V61VZIEQFQ02
383631	1037	87	pavi 5:3C7RD4TJHU75M
384641	1010	87	pavi 6:P5QO3ZMGI4JXL
385821	1180	87	pavi 7:I399HFN5H0JZG
387023	1202	87	pavi 8:IVCJT6YF8WOGN
388059	1036	87	pavi 9:MTW2TO6LTC3UA
min:	1006		
max:	1202		
avg:	1061		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
414023		167	pavi 0:VTME8E0K2TH5S
414999	976	167	pavi 1:W5MZ3ZMSV6ED7
416380	1381	167	pavi 2:3OZDZ3934RAHS
417393	1013	167	pavi 3:O0UJX1Q8EAJRB
418441	1048	167	pavi 4:3UFODEFUQHLM4
419649	1208	167	pavi 5:B074XGYQAMRHX
420931	1282	167	pavi 6:DIIPO9UN45MV0
421948	1017	167	pavi 7:YOMBF1C1UG4F5
422963	1015	167	pavi 8:W20PS81HIS3Q2
423979	1016	167	pavi 9:6T92257WLYYU4
min:	1013		
max:	1381		
avg:	1123		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
531482		327	pavi 0:WSLLP5BFLE7NI
532569	1087	327	pavi 1:R09D1DY4RJWMU
533704	1135	327	pavi 2:ES0FLHBF3BAWN
534760	1056	327	pavi 3:546N00Y9ERJIN
536196	1436	327	pavi 4:2QF2U31A7UJ7C
537492	1296	327	pavi 5:5VNJNBKAIJ637
538518	1026	327	pavi 6:DMTC42IOHGCZJ
539538	1020	327	pavi 7:VB0O7RMG5LNN8
540588	1050	327	pavi 8:JVW3EZZXBCOAH
559886	19298	327	pavi 9:W7FJJSXUZTH3Z
min:	1020		
max:	19298		
avg:	3415		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
631819		647	pavi 0:IIST0C4200RGU
632859	1040	647	pavi 1:L559HCXT9VK0E
634008	1149	647	pavi 2:7YO7EQBPFLEVB
635073	1065	647	pavi 3:0MNRE3B1GJ0VK
636664	1591	647	pavi 4:8G5AIOTMJXVG6
638103	1439	647	pavi 5:PHDQ9QXX50UPX
639574	1471	647	pavi 6:WQEDFZVREE537
640691	1117	647	pavi 7:76P51DPJ8DIZZ
641755	1064	647	pavi 8:ZILR6CCDL4XGT
642813	1058	647	pavi 9:RIMZZVFKSQIJQ
min:	1058		
max:	1591		
avg:	1244		
			
sending time (ms)	delta sending time (ms)	payload size	payload digest
700349		1287	pavi 0:S0LLPXXM856VR
701400	1051	1287	pavi 1:HGYV42U7OI8NK
702671	1271	1287	pavi 2:7C85PAZOJIRXR
704091	1420	1287	pavi 3:3R727LW23YGQ1
705378	1287	1287	pavi 4:28UJTL28P8MPY
706604	1226	1287	pavi 5:V9U4TA0Z9HWLH
707680	1076	1287	pavi 6:VEPV302847B0P
708963	1283	1287	pavi 7:II9YMRTTZHTNH
710368	1405	1287	pavi 8:DSAXSGPJSEKAH
